Nom;Année;Bois;Carton;Papier;Déchets dangereux;DEEE;Amiante;Batteries;Cartouches d'encre;Extincteurs;Huile;Pneumatiques;Déchets verts;Ferraille;Gravats;Mobilier;Ré-emploi;Textiles;Tout-venant;Verre
Déchèterie Saint Sébastien;2017;651.0;291.8;108.31;47.39;204.16;0.0;0.96;0.05;0.0;9.99;0.0;3708.36;289.29;2785.5;381.78;66.95;22.72;1747.98;289.13
Déchèterie La Chapelle sur Erdre;2012;830.0;261.0;104.0;42.0;135.0;0.0;0.0;0.0;0.0;10.0;0.0;3983.0;46.0;4652.0;0.0;0.0;1.0;3268.0;132.0
Déchèterie Mauves sur Loire;2013;61.0;48.0;20.0;6.0;7.0;0.0;0.0;0.0;0.0;2.0;0.0;733.0;21.0;393.0;0.0;0.0;2.0;397.0;56.0
Déchèterie Nantes;2013;1079.0;282.0;111.0;58.0;232.0;2.0;0.0;1.0;1.0;4.0;20.0;2567.0;176.0;2583.0;0.0;12.0;32.0;1661.0;0.0
Ecopoint Les Dervallières;2013;0.0;44.0;0.0;10.0;44.0;0.0;0.0;0.0;0.0;1.0;0.0;412.0;18.0;0.0;0.0;0.0;20.0;449.0;0.0
Déchèterie Carquefou;2014;489.0;145.0;78.0;35.0;91.0;0.0;0.0;0.0;0.0;5.0;0.0;2956.0;107.0;1528.0;0.0;43.0;15.0;1216.0;180.0
Déchèterie La Chapelle sur Erdre;2014;995.0;241.0;86.0;28.0;138.0;0.0;0.0;0.0;0.0;9.0;0.0;4623.0;33.0;5753.0;0.0;0.0;0.0;4100.0;190.0
Déchèterie Rezé;2014;1197.0;341.0;104.0;69.0;378.0;0.0;2.0;0.0;0.0;11.0;0.0;4627.0;178.0;6757.0;184.0;67.0;66.0;3385.0;234.0
Déchèterie La Montagne;2015;235.0;99.0;81.0;19.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1577.0;0.0;1687.0;0.0;0.0;0.0;1051.0;141.0
Déchèterie Mauves sur Loire;2015;77.0;30.0;15.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;704.0;21.0;273.0;0.0;0.0;1.0;287.0;48.0
Déchèterie Rezé;2015;1492.0;372.0;105.0;78.0;356.0;0.0;2.0;0.0;0.0;12.0;0.0;4726.0;280.0;10137.0;250.0;60.0;90.0;4226.0;252.0
Ecopoint Chantenay;2015;0.0;60.0;36.0;8.0;86.0;0.0;0.0;0.0;0.0;2.0;0.0;262.0;78.0;0.0;0.0;0.0;28.0;505.0;0.0
Déchèterie La Chapelle sur Erdre;2016;975.34;257.02;34.59;58.35;146.61;0.0;0.0;0.33;0.0;7.74;0.0;4220.52;107.07;4632.34;0.0;0.0;0.0;3538.96;222.72
Déchèterie Saint Herblain;2016;1307.04;346.36;130.82;71.13;92.79;0.0;0.0;0.07;0.0;8.64;0.0;3557.48;247.78;4570.8;0.0;49.57;5.06;3225.28;308.4
